"filename", "language", "Markdown", "JSON", "Log", "PHP", "TypeScript", "HTML", "JavaScript", "SCSS", "XML", "CSS", "comment", "blank", "total"
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\Plugins.php", "PHP", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 3, 8, 66
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\QqBot.php", "PHP", 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 4, 10, 110
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\Stay.php", "PHP", 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 15, 28, 183
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\Stay\Connection\ConnectionInterface.php", "PHP", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 87, 15, 127
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\Stay\Connection\TcpConnection.php", "PHP", 0, 0, 0, 449, 0, 0, 0, 0, 0, 0, 410, 84, 943
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\Stay\Events\EventInterface.php", "PHP", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 78, 13, 108
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\Stay\Events\Select.php", "PHP", 0, 0, 0, 216, 0, 0, 0, 0, 0, 0, 108, 33, 357
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\Stay\Protocols\Http.php", "PHP", 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 89, 25, 324
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\Stay\Protocols\Http\Chunk.php", "PHP", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 30, 4, 48
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\Stay\Protocols\Http\Request.php", "PHP", 0, 0, 0, 406, 0, 0, 0, 0, 0, 0, 228, 46, 680
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\Stay\Protocols\Http\Response.php", "PHP", 0, 0, 0, 244, 0, 0, 0, 0, 0, 0, 176, 39, 459
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\Stay\Protocols\Http\ServerSentEvents.php", "PHP", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 30, 3, 64
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\Stay\Protocols\Http\Session.php", "PHP", 0, 0, 0, 180, 0, 0, 0, 0, 0, 0, 216, 46, 442
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\Stay\Protocols\Http\Session\FileSessionHandler.php", "PHP", 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 76, 15, 183
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\Stay\Protocols\Http\Session\RedisClusterSessionHandler.php", "PHP", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 15, 6, 47
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\Stay\Protocols\Http\Session\RedisSessionHandler.php", "PHP", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 55, 20, 155
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\Stay\Protocols\Http\Session\SessionHandlerInterface.php", "PHP", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 93, 11, 116
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\Stay\loder.php", "PHP", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 7, 58
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\Stay\test.php", "PHP", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 12, 78
"f:\Project\工作文件夹\MiraiTravel\core\plugin.php", "PHP", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 12, 10, 45
"f:\Project\工作文件夹\MiraiTravel\core\pluginSystem.php", "PHP", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 35, 25, 147
"f:\Project\工作文件夹\MiraiTravel\core\scriptSystem.php", "PHP", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 13, 9, 66
"f:\Project\工作文件夹\MiraiTravel\docs\404.html", "HTML", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 1, 34
"f:\Project\工作文件夹\MiraiTravel\docs\announcement\index.html", "HTML", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 1, 34
"f:\Project\工作文件夹\MiraiTravel\docs\assets\404.html-60b35caa.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"f:\Project\工作文件夹\MiraiTravel\docs\assets\404.html-87d54bd8.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"f:\Project\工作文件夹\MiraiTravel\docs\assets\QQObjInterface.html-34d0b8cf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"f:\Project\工作文件夹\MiraiTravel\docs\assets\QQObjInterface.html-3946d2b3.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"f:\Project\工作文件夹\MiraiTravel\docs\assets\QQObjInterface.html-4742ce54.js", "JavaScript", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 1, 29
